-0.000000, -0.000000 
0.010139, 0.028522 
0.048632, 0.062043 
0.099567, 0.076536 
0.150761, 0.079302 
0.200852, 0.074171 
0.280567, 0.056497 
0.376031, 0.042662 
0.472303, 0.031398 
0.567504, 0.023564 
0.663327, 0.018476 
0.759391, 0.013622 
0.855285, 0.009173 
0.951464, 0.004660 
1.047445, -0.001378 
1.143364, -0.008629 
1.238993, -0.016347 
1.334835, -0.023029 
1.430815, -0.029004 
1.527154, -0.033292 
1.623497, -0.034145 
1.719935, -0.032492 
1.816597, -0.027503 
1.912616, -0.017643 
2.008280, -0.004249 
2.103620, 0.013397 
2.197351, 0.036964 
2.290006, 0.064621 
2.381433, 0.096135 
2.471226, 0.132656 
2.558356, 0.174759 
2.643347, 0.221188 
2.725728, 0.272425 
2.804412, 0.328574 
2.880651, 0.387996 
2.954600, 0.450093 
3.026082, 0.515107 
3.094772, 0.582816 
3.161663, 0.652272 
3.226887, 0.722954 
3.291028, 0.794485 
3.354931, 0.866161 
3.418662, 0.937978 
3.482248, 1.009916 
3.545744, 1.081927 
3.610003, 1.153300 
3.677120, 1.222413 
3.745878, 1.289997 
3.815783, 1.356087 
3.888278, 1.419343 
3.966555, 1.476409 
4.048078, 1.528950 
4.131983, 1.577203 
4.220277, 1.618911 
4.313410, 1.647992 
4.409344, 1.667197 
4.507886, 1.673317 
4.605370, 1.660730 
4.699992, 1.631919 
4.787024, 1.582288 
4.855474, 1.508835 
4.899672, 1.418661 
4.918207, 1.320610 
4.910569, 1.220739 
4.887004, 1.128568 
4.873048, 1.033104 
4.873282, 0.932543 
4.903891, 0.837073 
4.962404, 0.754627 
5.043520, 0.696122 
5.135798, 0.658981 
5.234172, 0.643802 
5.329882, 0.644126 
5.425787, 0.639485 
5.522377, 0.632560 
5.618941, 0.621514 
5.713748, 0.603334 
5.807679, 0.580294 
5.900650, 0.552883 
5.991874, 0.517794 
6.076885, 0.469285 
6.154446, 0.407762 
6.218528, 0.332830 
6.268136, 0.247128 
6.305376, 0.159081 
6.356419, 0.074051 
6.429862, 0.006447 
6.517116, -0.042168 
6.613621, -0.067052 
6.712359, -0.067407 
6.809591, -0.050980 
6.902965, -0.020468 
6.990154, 0.021649 
7.075465, 0.067416 
7.158737, 0.115613 
7.240437, 0.166561 
7.319709, 0.224805 
7.388061, 0.294738 
7.448164, 0.371974 
7.499646, 0.454975 
7.538440, 0.546257 
7.556692, 0.642969 
7.561063, 0.741159 
7.553734, 0.838582 
7.535795, 0.934194 
7.510172, 1.027767 
7.479918, 1.119772 
7.446605, 1.210162 
7.410576, 1.299442 
7.372420, 1.387974 
7.331152, 1.475512 
7.286013, 1.560765 
7.238509, 1.644693 
7.189370, 1.727436 
7.138854, 1.809201 
7.085351, 1.889955 
7.027452, 1.967262 
6.966845, 2.042484 
6.904401, 2.115771 
6.840246, 2.187344 
6.773481, 2.257271 
6.703867, 2.324114 
6.632318, 2.388831 
6.559194, 2.451595 
6.485725, 2.513146 
6.413130, 2.576044 
6.341003, 2.639685 
6.269512, 2.703774 
6.199606, 2.769625 
6.133696, 2.840199 
6.070383, 2.913231 
6.009399, 2.987726 
5.950338, 3.063477 
5.892853, 3.140927 
5.837487, 3.219769 
5.783480, 3.299414 
5.730507, 3.379523 
5.678187, 3.460050 
5.626393, 3.540918 
5.573405, 3.620961 
5.515231, 3.698018 
5.454135, 3.772935 
5.391091, 3.845782 
5.322416, 3.913037 
5.237796, 3.963336 
5.146224, 3.999863 
5.050604, 4.022563 
4.948322, 4.025435 
4.859269, 3.987449 
4.786045, 3.919622 
4.729794, 3.841778 
4.689540, 3.754422 
4.658438, 3.664189 
4.621660, 3.575340 
4.582736, 3.486766 
4.542453, 3.399380 
4.500466, 3.312961 
4.457592, 3.227061 
4.414099, 3.141181 
4.369333, 3.056100 
4.321888, 2.972403 
4.273015, 2.889449 
4.223234, 2.807172 
4.172713, 2.725537 
4.121521, 2.644262 
4.065635, 2.565172 
3.995725, 2.496716 
3.917763, 2.437235 
3.833186, 2.387696 
3.736757, 2.354517 
3.636067, 2.360960 
3.541790, 2.395646 
3.460565, 2.450166 
3.388844, 2.516305 
3.324025, 2.588641 
3.264369, 2.665183 
3.209748, 2.745392 
3.157875, 2.825155 
3.098814, 2.901540 
3.036043, 2.975394 
2.970785, 3.046472 
2.902900, 3.114582 
2.832488, 3.180348 
2.760722, 3.244706 
2.688194, 3.307595 
2.614692, 3.369439 
2.537593, 3.428774 
2.455171, 3.480063 
2.369119, 3.525348 
2.275679, 3.559638 
2.177334, 3.569407 
2.078665, 3.560765 
1.983122, 3.530215 
1.903394, 3.470855 
1.837717, 3.396684 
1.785593, 3.313908 
1.747916, 3.223000 
1.720920, 3.131318 
1.688995, 3.040606 
1.655000, 2.950073 
1.619360, 2.860695 
1.581362, 2.772699 
1.541527, 2.685322 
1.501457, 2.597865 
1.461058, 2.510844 
1.420211, 2.423956 
1.379161, 2.337136 
1.335530, 2.250936 
1.283547, 2.169110 
1.226091, 2.090784 
1.160370, 2.017643 
1.083465, 1.957172 
0.999448, 1.906634 
0.906982, 1.869835 
0.809050, 1.856494 
0.710086, 1.862092 
0.614121, 1.887509 
0.526377, 1.932455 
0.447473, 1.991664 
0.378848, 2.061412 
0.317796, 2.137243 
0.263068, 2.217399 
0.234818, 2.269394 
0.212954, 2.312785 
0.192575, 2.356651 
0.173067, 2.400766 
0.154168, 2.444966 
0.135613, 2.489282 
0.117302, 2.533682 
0.106623, 2.561743 
0.098228, 2.589728 
0.090778, 2.617765 
0.083744, 2.645826 
